EVENT_TIME_UTC,LOCATION,READERDESC,IDHASH,DEVID,MACHINE
2024-03-11T13:36:05Z,SEMINOLE PP,SEMINOLE PP 102 MAIN GATE ENTRY LOWER,fd6d6e8e33cd5ce39a3ca5cf0b309049,3,25
2024-03-11T15:56:37Z,SEMINOLE PP,SEMINOLE PP 103 MAIN GATE EXIT LOWER,fd6d6e8e33cd5ce39a3ca5cf0b309049,4,25
2024-03-11T15:56:37Z,SEMINOLE PP,SEMINOLE PP 103 MAIN GATE EXIT LOWER,fd6d6e8e33cd5ce39a3ca5cf0b309049,4,25
2024-04-08T15:19:17Z,SEMINOLE PP,SEMINOLE PP 116 LOAD DOC ENTR,fd6d6e8e33cd5ce39a3ca5cf0b309049,1,323
2024-04-08T15:19:17Z,SEMINOLE PP,SEMINOLE PP 116 LOAD DOC ENTR,fd6d6e8e33cd5ce39a3ca5cf0b309049,1,323
2024-04-09T11:28:45Z,SEMINOLE PP,SEMINOLE PP 116 LOAD DOC ENTR,fd6d6e8e33cd5ce39a3ca5cf0b309049,1,323
2024-04-09T11:28:45Z,SEMINOLE PP,SEMINOLE PP 116 LOAD DOC ENTR,fd6d6e8e33cd5ce39a3ca5cf0b309049,1,323
2024-04-08T15:14:13Z,SEMINOLE PP,SEMINOLE PP 116 LOAD DOC ENTR,f8690df3ae6f006f23a35c964ff6d99f,1,323
2024-04-02T13:27:10Z,SEMINOLE PP,SEMINOLE PP 112 ADMIN ADA ENTRY,f765ef7bef14e1a43cf09dbe9edfa6d6,5,274
2024-04-02T16:31:08Z,SEMINOLE PP,SEMINOLE PP 111 ADMIN ADA EXIT,f765ef7bef14e1a43cf09dbe9edfa6d6,6,274
2024-03-27T12:17:23Z,SEMINOLE PP,SEMINOLE PP 108 ADMIN GATE ENTRY LOWER,f6a2e3395011ce6682064390d2c03d14,9,274
